Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Swim Cadence,Max Swim Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Sends,Total Ascent,Falls,Total Rest,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-04-16 17:54:29,false,"Amherst Running","1.91","113","00:11:05","162","178","2.8","153","163","5:49","3:48","12","13","1.15","9.1","10.5","281","5:30","276","0.0","268","420","--","--","--","1,700","--","--","--","--","--","--","--","--","--","'-2","No","00:01:37.1","2","--","--","--","--","--","--","--","--","00:10:39","00:11:18","47","56"
Running,2026-04-14 07:39:44,false,"Amherst Running","3.86","242","00:22:23","171","191","3.8","157","177","5:48","3:57","30","34","1.09","9.1","9.9","278","5:49","268","0.0","267","414","--","--","--","3,536","--","--","--","--","--","--","--","--","--","'-10","No","00:03:03.1","3","--","--","--","--","--","--","--","--","00:22:20","00:27:49","47","69"
Yoga,2026-04-13 17:54:04,false,"Yoga","--","311","01:05:39","118","161","2.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","--","--","--","--","--","--","--","'-6","No","01:05:39","1","16","9","28","65","33","98","90","100","01:05:39","01:05:39","--","--"
Running,2026-04-12 10:06:04,false,"Amherst Running","8.06","516","00:48:19","170","187","4.8","156","168","6:00","4:21","64","54","1.06","9.4","9.9","284","5:59","262","0.0","260","376","--","--","--","7,592","--","--","--","--","--","--","--","--","--","'-15","No","00:00:02.2","6","--","--","--","--","--","--","--","--","00:48:09","00:53:54","55","81"
Running,2026-04-06 07:14:15,false,"Amherst Running","4.84","318","00:29:35","170","188","3.9","156","165","6:07","5:05","42","43","1.05","9.5","9.9","287","6:02","264","0.0","260","341","--","--","--","4,606","--","--","--","--","--","--","--","--","--","'-9","No","00:00:02.3","4","--","--","--","--","--","--","--","--","00:29:23","00:30:36","43","71"
Pilates,2026-04-04 11:09:45,false,"Pilates","0.00","368","01:11:15","121","149","2.2","20","164","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","20","10","1","--","--","--","--","--","--","--","'-6","No","01:11:15","1","--","--","--","--","--","--","--","--","01:11:15","01:11:15","--","--"
Yoga,2026-03-30 17:52:03,false,"Yoga","--","304","01:05:42","116","157","2.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","2","--","--","--","--","--","--","--","'-4","No","01:05:42","1","17","9","25","10","87","97","88","100","01:05:42","01:05:42","--","--"
Hiking,2026-03-28 10:04:49,false,"Amherst Hiking","8.52","572","02:23:29","108","159","2.1","74","245","16:50","6:06","271","270","0.81","--","--","--","--","--","0.0","--","--","--","--","--","12,082","--","--","--","--","--","--","--","--","--","'-17","No","02:23:29","1","--","--","--","--","--","--","--","--","01:45:49","02:23:29","60","295"
Yoga,2026-03-24 19:18:36,false,"Yoga","--","126","01:16:49","73","104","0.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","--","--","--","--","--","--","--","2","No","01:16:49","1","15","6","23","44","27","71","31","87","01:16:49","01:16:49","--","--"
Yoga,2026-03-24 17:50:45,false,"Yoga","--","341","01:02:42","124","157","2.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","--","--","--","--","--","--","--","'-4","No","01:02:42","1","16","9","28","12","87","99","88","100","01:02:42","01:02:42","--","--"
